company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
2397233f6407b519e81ead28472318a7f29f6c004804b5eb21b6a5af,2397233f6407b519e81ead28472318a7f29f6c004804b5eb21b6a5af,915,17,E,后宅,125147,15308,1223,2
7fc340d1ee18515e6f442aa087c1bcc4a51bed7fb5b718a84ecc0e66,7fc340d1ee18515e6f442aa087c1bcc4a51bed7fb5b718a84ecc0e66,916,17,E,后宅,125147,15308,1223,2
0f296a1d0ceecc205c73e8514fdb715682561fff1e206e0d5e07eff4,0f296a1d0ceecc205c73e8514fdb715682561fff1e206e0d5e07eff4,917,18,E,大陈,71817,16992,2366,9
75720f112e1e669fa3312dcda2bee7aa0e64c9ed74b26d01f3e4203a,75720f112e1e669fa3312dcda2bee7aa0e64c9ed74b26d01f3e4203a,918,18,E,苏溪,74950,16888,2253,8
cd0f7f00836a4269f0d90178d4097befded9247280abd7e77c36c303,cd0f7f00836a4269f0d90178d4097befded9247280abd7e77c36c303,919,51,E,城区,966304,344290,3562,1
8a79652018610d70f19be787f16f1b3cf7fa3d7ca5109d912a7349ac,8a79652018610d70f19be787f16f1b3cf7fa3d7ca5109d912a7349ac,920,29,E,城区,966304,344290,3562,1
24251762d4cf62489c73402f75e631788d0c63d24e69dc81b5ce396f,24251762d4cf62489c73402f75e631788d0c63d24e69dc81b5ce396f,921,51,E,城区,966304,344290,3562,1
393a2e010a0363da1eeba6af78fbb28cc6966ee5a12207c383a0924c,393a2e010a0363da1eeba6af78fbb28cc6966ee5a12207c383a0924c,922,95,P,大陈,71817,16992,2366,9
93df90ef56465e8452d2e12d9f1452815f1096020912cc51d1f9f8bb,93df90ef56465e8452d2e12d9f1452815f1096020912cc51d1f9f8bb,923,51,E,赤岸,37791,12134,3210,4
662526f2bd6a8df339708002fc819c5cfd582e46d7336c1fc6c81f70,662526f2bd6a8df339708002fc819c5cfd582e46d7336c1fc6c81f70,924,24,E,上溪,83558,17358,2077,7
32e16955d88b090687ed5097ca1a500582c4d063f302cc72b4ba0964,32e16955d88b090687ed5097ca1a500582c4d063f302cc72b4ba0964,925,96,P,赤岸,37791,12134,3210,4
2ff00142272643c401036db68feb19d9d47b62e978da5ef08650b65e,2ff00142272643c401036db68feb19d9d47b62e978da5ef08650b65e,926,52,E,苏溪,74950,16888,2253,8
8d8287f7455570f465dd136940d540f21d66c4dddb686a24acaddbc3,8d8287f7455570f465dd136940d540f21d66c4dddb686a24acaddbc3,927,29,E,义亭,84203,18908,2245,5
